frame_idx,ear,mar,pitch,yaw,roll,detected,video,camera,gender,glasses,action,label,subject,split,ear_norm,mar_norm,pitch_norm,yaw_norm,roll_norm
0,0.3282719270922837,0.3714643495726442,26.064419228783912,4.103916750803226,8.982956052104987,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.43731484811524374,0.3074341638528105,0.4078076095768024,0.14834067272873913,0.1279656173142396
1,0.3406914866203485,0.3598918805536588,26.460725869043344,4.32558852002914,8.489216024279283,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.596882338812624,0.07229125109897173,0.4410713466227458,0.19463303741705168,0.04293084896746108
2,0.3343385652787419,0.3564857477581036,26.517774785070586,3.9020444157461496,7.726565569565504,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.5152594990663938,0.0030814752543143593,0.4458597098463446,0.10618308185653667,-0.0884172311785648
3,0.330495343674809,0.3504780240801988,26.47562596871087,3.767089574178065,7.578973328566676,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.4658814815813331,-0.11899045618271585,0.4423219766827782,0.07800006710396232,-0.11383642208027504
4,0.3155999635139487,0.3480452732976059,26.64894914879032,3.976536726526823,7.4182952550693875,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.2745044500625372,-0.1684219218521943,0.4568697437410222,0.12173952925250446,-0.14150933087484385
5,0.3178306115801312,0.3470863619021192,26.612465217749985,3.971444058097812,7.453448472276001,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.3031639942070282,-0.18790620115660742,0.45380748899875106,0.12067601239162636,-0.13545504012800647
6,0.3106830389172168,0.3483082187362874,26.648308012978536,4.050540855958489,7.638332289086875,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.21133141094824368,-0.16307908997720894,0.45681593042858326,0.1371940283078188,-0.10361327797067381
7,0.3072640495833462,0.3489912398293348,26.620418607221957,4.252001115327931,8.247540244938863,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.1674039634816865,-0.14920067137630552,0.4544750515100591,0.1792655642074925,0.0013080459677931278
8,0.3175150131276146,0.3491401584662864,26.699619448144094,3.9857355909465513,8.25202428364489,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.2991091601348332,-0.14617476895231263,0.4611227219718181,0.12366055504628705,0.0020803130944915507
9,0.3071440721639408,0.3514419533142276,26.74353098461779,4.269275317361116,8.728707189009521,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.16586248403456086,-0.09940421858672294,0.4648084078881283,0.18287298640208344,0.08417740498119602
10,0.3246800740785391,0.3510051544423681,26.88319972737514,4.422588680292353,8.716990821861426,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.39116643431184733,-0.10827960713588573,0.476531411897288,0.2148898649301352,0.08215954434572866
11,0.2991085319905656,0.3543861990175306,26.65092463593201,4.4015540971870415,8.506522647598784,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.06262122342736857,-0.03957960299243239,0.45703555495421777,0.210497151344738,0.04591149591099428
12,0.329473340264956,0.3579835404175436,26.31245911020306,4.30640331669967,8.504493775631051,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.4527507003144215,0.03351537212318828,0.4286266737919073,0.19062653522577733,0.04556207182532477
13,0.3115590008266731,0.3641310315807499,26.695161933941684,4.302028087644897,8.668891867728941,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.2225858393780579,0.15842726221970171,0.4607485834506707,0.18971284333029723,0.07387566377726479
14,0.3200207428572036,0.3625376943089868,26.681488966954586,4.190509006961171,8.233738293914628,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.3313029754157078,0.12605197856441874,0.4596009519646099,0.1664239871500811,-0.0010690060068012214
15,0.3208136136359656,0.3662595977131502,27.243830768113934,4.186416441049855,9.091387123241976,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.34148984237571856,0.201677949652146,0.5068007409751135,0.16556932462657087,0.1466402446405496
16,0.3183209810421867,0.3571811206128533,27.347435379427797,4.598900206218627,9.808609706009587,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.30946430013961806,0.017210871344944745,0.5154967258448988,0.25170951718190127,0.27016447346862404
17,0.3207468203783425,0.3542569952272129,27.53418701104203,4.595567105627352,9.892200427592469,True,1-MaleNoGlasses-Yawning.avi,Mirror,Male,NoGlasses,Yawning,Yawning,1,train,0.34063167727812893,-0.042204916185693296,0.5311716011456259,0.25101345602511566,0.28456095186848684
