epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7422,1.30579,2.2573,1.40742,0.68785,0.66122,0.71079,0.38633,1.47526,2.02977,1.51788,0.000553152,0.000553152,0.000553152
2,147.744,1.37001,1.74245,1.4429,0.47183,0.48643,0.35031,0.16308,1.71825,3.93085,1.82344,0.00106491,0.00106491,0.00106491
3,221.635,1.38593,1.60024,1.45944,0.59173,0.56421,0.61603,0.34646,1.49014,1.78879,1.52151,0.00153266,0.00153266,0.00153266
4,288.878,1.35685,1.4357,1.43526,0.73552,0.63429,0.70907,0.42468,1.39413,1.34111,1.49695,0.00146896,0.00146896,0.00146896
5,356.09,1.31741,1.37043,1.40805,0.81202,0.72623,0.79371,0.47768,1.36145,1.14962,1.45219,0.00140295,0.00140295,0.00140295
6,422.362,1.26555,1.27633,1.36955,0.82401,0.75313,0.82334,0.48933,1.34172,1.10143,1.43132,0.00133693,0.00133693,0.00133693
7,488.382,1.20329,1.19169,1.3322,0.84029,0.73688,0.84233,0.50376,1.28426,1.05936,1.37535,0.00127092,0.00127092,0.00127092
8,552.772,1.19447,1.15048,1.32321,0.86337,0.70389,0.83565,0.53687,1.23354,0.96154,1.32741,0.00120491,0.00120491,0.00120491
9,617.048,1.16126,1.09803,1.30207,0.839,0.74022,0.85213,0.51984,1.29276,1.00318,1.36307,0.00113889,0.00113889,0.00113889
10,681.805,1.13791,1.01985,1.28306,0.83464,0.83789,0.89901,0.56754,1.20047,0.87097,1.30484,0.00107288,0.00107288,0.00107288
11,747.016,1.09696,0.9976,1.26516,0.89697,0.7697,0.89022,0.56738,1.22521,0.85882,1.31135,0.00100687,0.00100687,0.00100687
12,811.524,1.10598,1.0065,1.27497,0.89756,0.85598,0.91535,0.60367,1.19257,0.79145,1.29618,0.000940855,0.000940855,0.000940855
13,877.523,1.08112,0.95921,1.25405,0.90341,0.85627,0.91773,0.59008,1.18892,0.79238,1.29221,0.000874842,0.000874842,0.000874842
14,942.19,1.03814,0.92806,1.2298,0.90068,0.83618,0.91356,0.59444,1.15659,0.76109,1.27024,0.000808828,0.000808828,0.000808828
15,1005.77,1.02258,0.89407,1.21393,0.91131,0.85795,0.92458,0.59803,1.18905,0.72351,1.28697,0.000742815,0.000742815,0.000742815
16,1070.24,0.98034,0.77188,1.20671,0.92001,0.87159,0.93431,0.63909,1.10419,0.70463,1.24226,0.000676802,0.000676802,0.000676802
17,1131.71,0.94346,0.7359,1.19203,0.88461,0.85137,0.92325,0.62947,1.10522,0.72302,1.23916,0.000610789,0.000610789,0.000610789
18,1192.79,0.9284,0.70539,1.18385,0.87771,0.87684,0.93299,0.64039,1.11877,0.70424,1.23523,0.000544776,0.000544776,0.000544776
19,1253.4,0.90998,0.68565,1.17435,0.89729,0.87105,0.93437,0.62533,1.1192,0.69641,1.26752,0.000478762,0.000478762,0.000478762
20,1315.04,0.87905,0.6422,1.15455,0.91667,0.9006,0.94634,0.66415,1.04781,0.64063,1.20434,0.000412749,0.000412749,0.000412749
21,1376.44,0.87389,0.63254,1.15231,0.93801,0.90481,0.94904,0.65404,1.0823,0.65394,1.22059,0.000346736,0.000346736,0.000346736
22,1438.24,0.85835,0.62078,1.14236,0.90208,0.9041,0.95314,0.65701,1.04122,0.63212,1.18886,0.000280723,0.000280723,0.000280723
23,1498.94,0.82643,0.57719,1.12594,0.92988,0.91836,0.95781,0.68252,1.01,0.59028,1.17319,0.00021471,0.00021471,0.00021471
24,1559.7,0.81204,0.56089,1.10965,0.91394,0.91117,0.95405,0.66574,1.03995,0.59002,1.17954,0.000148696,0.000148696,0.000148696
25,1620.52,0.79945,0.55069,1.10227,0.92316,0.90541,0.95347,0.66953,1.02899,0.59839,1.17311,8.26832e-05,8.26832e-05,8.26832e-05
