epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5379,1.77457,2.36621,1.82912,0.15597,0.30334,0.17894,0.06678,2.19598,19.092,2.75419,0.00331825,0.00331825,0.0701357
2,135.618,1.83146,2.25423,1.91282,0.32815,0.37011,0.31559,0.13186,2.02167,3.82644,2.14415,0.00664509,0.00664509,0.0401292
3,201.839,1.73758,2.0698,1.8311,0.53958,0.44332,0.45855,0.22233,1.74839,3.12656,1.87789,0.00994594,0.00994594,0.0100968
4,267.529,1.63415,1.89503,1.74791,0.65956,0.47223,0.55627,0.28536,1.73974,1.9348,1.79474,0.00991232,0.00991232,0.00991232
5,331.947,1.57729,1.77664,1.69636,0.63305,0.44862,0.5278,0.27282,1.69071,2.32343,1.78739,0.00984449,0.00984449,0.00984449
6,397.304,1.51875,1.6754,1.63279,0.79673,0.66019,0.75175,0.40007,1.54498,1.46153,1.65032,0.00975773,0.00975773,0.00975773
7,461.271,1.44465,1.5609,1.5831,0.76588,0.6546,0.70565,0.36582,1.55318,1.56934,1.66822,0.00965239,0.00965239,0.00965239
8,523.053,1.43041,1.53668,1.57647,0.79356,0.65002,0.7398,0.42853,1.48636,1.37785,1.64393,0.00952889,0.00952889,0.00952889
9,585.701,1.38835,1.4836,1.53649,0.82115,0.71226,0.78861,0.43379,1.45588,1.27794,1.52817,0.00938772,0.00938772,0.00938772
10,648.589,1.35851,1.3973,1.51143,0.8576,0.74297,0.82578,0.46926,1.41908,1.18507,1.53883,0.00922942,0.00922942,0.00922942
11,710.613,1.32408,1.3521,1.48609,0.84776,0.75084,0.83232,0.48796,1.4143,1.10286,1.5172,0.00905463,0.00905463,0.00905463
12,773.419,1.33255,1.35342,1.48492,0.83662,0.68703,0.78827,0.48346,1.34455,1.14037,1.45557,0.00886404,0.00886404,0.00886404
13,835.762,1.30629,1.31483,1.46005,0.86988,0.72036,0.81523,0.51686,1.30239,1.05406,1.45846,0.00865839,0.00865839,0.00865839
14,898.99,1.2662,1.26613,1.44093,0.83426,0.75432,0.83545,0.5182,1.33354,1.03156,1.46463,0.00843851,0.00843851,0.00843851
15,965.226,1.24759,1.23747,1.42605,0.82663,0.75637,0.83437,0.51166,1.34319,0.99905,1.47003,0.00820525,0.00820525,0.00820525
16,1029.22,1.23532,1.2376,1.42729,0.84618,0.79707,0.86631,0.52259,1.32542,0.97103,1.44481,0.00795954,0.00795954,0.00795954
17,1092.45,1.22283,1.19182,1.4064,0.86548,0.73828,0.84549,0.52091,1.31928,0.94402,1.45937,0.00770234,0.00770234,0.00770234
18,1156.39,1.22011,1.18434,1.40771,0.90079,0.77427,0.86957,0.53519,1.27026,0.96537,1.42736,0.00743468,0.00743468,0.00743468
19,1221.76,1.18715,1.14925,1.37619,0.88661,0.80467,0.88276,0.56362,1.26115,0.93932,1.40681,0.00715761,0.00715761,0.00715761
20,1286.17,1.18607,1.15709,1.39421,0.86421,0.77911,0.85986,0.54543,1.23057,0.97185,1.37357,0.00687222,0.00687222,0.00687222
21,1354.24,1.18335,1.10849,1.37963,0.89342,0.82257,0.89746,0.57854,1.23166,0.873,1.3822,0.00657963,0.00657963,0.00657963
22,1424.82,1.1553,1.07961,1.36601,0.88817,0.81479,0.9039,0.5936,1.21292,0.86933,1.36944,0.00628101,0.00628101,0.00628101
23,1489.97,1.1401,1.05068,1.34707,0.86989,0.82049,0.89153,0.56307,1.21508,0.85109,1.3524,0.00597754,0.00597754,0.00597754
24,1556.23,1.12127,1.04099,1.33324,0.88451,0.81752,0.90067,0.57776,1.20536,0.87722,1.36788,0.0056704,0.0056704,0.0056704
25,1620.71,1.10142,1.01719,1.32766,0.8871,0.82853,0.90457,0.58941,1.19213,0.82056,1.37155,0.00536081,0.00536081,0.00536081
26,1686,1.10703,1.01254,1.33487,0.91171,0.80067,0.90928,0.60091,1.19063,0.82699,1.34985,0.00505,0.00505,0.00505
27,1748.88,1.0851,0.97717,1.30817,0.86978,0.79057,0.88964,0.58731,1.19386,0.84574,1.33751,0.00473919,0.00473919,0.00473919
28,1813.68,1.08849,0.975,1.3113,0.93628,0.86783,0.92836,0.62182,1.17388,0.75329,1.32105,0.0044296,0.0044296,0.0044296
29,1880.08,1.06206,0.94701,1.29368,0.92357,0.8708,0.93227,0.61172,1.15151,0.75003,1.30284,0.00412246,0.00412246,0.00412246
